video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,4.1,4.5,Beasley,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,4.5,4.8,couch,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,4.8,5.0,-,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,5.0,5.6,atomium,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,5.6,5.9,like,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,5.9,6.0,a,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,6.0,6.7,vaccination.,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,6.7,7.0,Yachty,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,7.0,7.5,Gagarin,1
uki5QILjtKc,0,"Beasley couch - atomium like a vaccination. Yachty Gagarin develop key the key Rock Tom Yogi or gamble be Mario simulation or John Barrow don't know kirisaki vaccines your tkc immune system kicks up simethicone below Messianic immunological memory could develop Carnegie chemical lobotomy is commentluv. Aka Big barge a PC via John Walker be Mary Barra Carnival a kissy particular pathogen system. Now too high - whoa, Bobby Shmurda. You see pathogen Kelly resistance developed Carlita. Hey Amar'e adaptive immune system are white blood cells within your healthy cells or B. Lymphocytes Kathy. Yay. Pathogens it barely barely any primary exposure May activity big barge Amara sharir pathogens in Lolita. Hey, 20 or B lymphocytes key population genetic memory cells be getting heat individual. Mahogany. You memory cells stand by Pirelli or gel this react Kearney clear Authority other secondary exposure my individual person whose particular pathogen second act math. I immunological memory primary exposure.",0.7856536507606506,7.5,7.8,develop,1
